Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771788249,250,,Aggregated,3369.900000,0.000000,16,17,18,18,24,53,96,140,220,310,440,179945,0,16,21.52195631578503,11.089666979387403,442.4553329590708,799.6825530023062
1771788250,250,,Aggregated,3333.000000,0.000000,16,17,18,18,24,53,96,130,210,310,440,183494,0,16,21.50062910287027,11.089666979387403,442.4553329590708,799.519433877947
1771788251,250,,Aggregated,3258.800000,0.000000,16,17,18,18,24,53,96,130,210,310,440,187058,0,16,21.475114038514214,11.089666979387403,442.4553329590708,799.0050144874851
1771788252,250,,Aggregated,3230.000000,0.000000,16,17,18,18,24,53,95,130,210,310,440,190633,0,16,21.443391385959377,11.089666979387403,442.4553329590708,799.0557248744971
1771788253,250,,Aggregated,3217.600000,0.000000,16,17,18,18,24,53,95,130,210,310,440,194150,0,16,21.43090832258289,11.089666979387403,442.4553329590708,799.1852382178728
1771788254,250,,Aggregated,3250.900000,0.000000,16,17,18,18,24,53,95,130,210,310,440,197766,0,16,21.39441762749801,11.089666979387403,442.4553329590708,799.0924122447741
1771788255,250,,Aggregated,3338.800000,0.000000,16,17,18,18,24,53,94,130,210,310,440,201343,0,16,21.36749749255061,11.089666979387403,442.4553329590708,799.3535707722642
1771788256,250,,Aggregated,3355.000000,0.000000,16,17,18,18,24,53,95,130,210,310,440,204672,0,16,21.4240779617349,11.089666979387403,442.4553329590708,799.1687529315197
1771788257,250,,Aggregated,3340.000000,0.000000,16,17,18,18,24,53,94,130,210,310,440,208279,0,16,21.39347658275743,11.089666979387403,442.4553329590708,799.3064495220353
1771788258,250,,Aggregated,3350.200000,0.000000,16,17,18,18,24,53,95,130,210,310,440,211772,0,16,21.397149491739626,11.089666979387403,442.4553329590708,799.1293230455395
1771788259,250,,Aggregated,3365.000000,0.000000,16,17,18,18,24,53,94,130,210,310,440,215370,0,16,21.347928945664083,11.089666979387403,442.4553329590708,799.0179876491619
1771788260,250,,Aggregated,3396.000000,0.000000,16,17,18,18,24,53,94,130,210,310,440,219011,0,16,21.30407353156603,11.089666979387403,442.4553329590708,798.9248439576095
1771788261,250,,Aggregated,3481.900000,0.000000,16,17,18,18,24,52,93,120,210,310,440,222681,0,16,21.2709602488484,11.089666979387403,442.4553329590708,799.0530579618378
1771788262,250,,Aggregated,3532.800000,0.000000,16,17,18,18,23,52,94,130,210,310,440,226128,0,16,21.28402786527306,11.089666979387403,442.4553329590708,799.1024640911343
1771788263,250,,Aggregated,3530.000000,0.000000,16,17,18,18,23,53,94,130,210,310,440,229621,0,16,21.294034582165292,11.089666979387403,442.4553329590708,799.1874741421734
1771788264,250,,Aggregated,3520.300000,0.000000,16,17,18,18,23,53,94,130,210,310,440,233217,0,16,21.27912493392222,11.089666979387403,442.4553329590708,799.078939356908
1771788265,250,,Aggregated,3522.900000,0.000000,16,17,18,18,23,53,94,130,210,310,440,236638,0,16,21.296894563845076,11.089666979387403,442.4553329590708,799.2250526120065
1771788266,250,,Aggregated,3535.000000,0.000000,16,17,18,18,23,53,95,130,210,300,440,240088,0,16,21.328775338123663,11.089666979387403,442.4553329590708,799.1052780647096
1771788267,250,,Aggregated,3509.000000,0.000000,16,17,18,18,23,52,94,130,210,300,440,243663,0,16,21.279125184604197,11.089666979387403,442.4553329590708,799.0652827881131
1771788268,250,,Aggregated,3526.700000,0.000000,16,17,18,18,23,52,94,130,210,300,440,247299,0,16,21.27203707985178,11.089666979387403,442.4553329590708,798.9499997978156
1771788269,250,,Aggregated,3525.400000,0.000000,16,17,18,18,23,52,94,130,210,300,440,250889,0,16,21.221869868660093,11.089666979387403,442.4553329590708,798.9268441422303
1771788270,250,,Aggregated,3526.600000,0.000000,16,17,18,18,23,52,93,130,210,300,440,254677,0,16,21.177518249251502,11.089666979387403,442.4553329590708,798.9747287740943
1771788271,250,,Aggregated,3548.500000,0.000000,16,17,18,18,23,52,93,120,210,300,440,258082,0,16,21.166899617913828,11.089666979387403,442.4553329590708,798.7262846692137
1771788272,250,,Aggregated,3542.000000,0.000000,16,17,18,18,23,52,93,120,210,300,440,261756,0,16,21.14382928244152,11.089666979387403,442.4553329590708,798.6352786564587
1771788273,250,,Aggregated,3542.100000,0.000000,16,17,18,18,23,52,93,130,200,300,440,265161,0,16,21.171235332709145,11.089666979387403,442.4553329590708,798.6930845788031
1771788274,250,,Aggregated,3549.100000,0.000000,16,17,18,18,23,52,93,120,200,300,440,268709,0,16,21.157973165171228,11.089666979387403,442.4553329590708,798.6838401393329
1771788275,250,,Aggregated,3537.500000,0.000000,16,17,18,18,23,52,93,120,200,300,440,272196,0,16,21.15118651137956,11.089666979387403,442.4553329590708,798.3862106717219
1771788276,250,,Aggregated,3539.200000,0.000000,16,17,18,18,23,52,93,120,200,300,440,275762,0,16,21.140312132892234,11.089666979387403,442.4553329590708,798.4932441743242
1771788277,250,,Aggregated,3557.100000,0.000000,16,17,18,18,23,52,93,120,200,300,440,279304,0,16,21.149600640375798,11.089666979387403,442.4553329590708,798.3915876607567
